# Output for Windows.
[11] FixedStrTbl.dat (9217), compress=1, debug=0, platform=0
[16] SystemFixed_ev.xml (290), compress=1, debug=0, platform=0
[51] CrcShdw.png (2257), compress=0, debug=0, platform=0
[101] CommonSprite_black.png (4583), compress=0, debug=0, platform=0
[201] Gui01_sd_en.png (977754), compress=0, debug=0, platform=0
[202] Gui01_sd_jp.png (1074097), compress=0, debug=0, platform=0
[211] Gui01_hd_en.png (2601878), compress=0, debug=0, platform=0
[212] Gui01_hd_jp.png (2604213), compress=0, debug=0, platform=0
[221] Gui01_rd_en.png (6941456), compress=0, debug=0, platform=0
[222] Gui01_rd_jp.png (6947110), compress=0, debug=0, platform=0
[301] Skb01_sd.png (112014), compress=0, debug=0, platform=0
[311] Skb01_hd.png (258493), compress=0, debug=0, platform=0
[321] Skb01_rd.png (562349), compress=0, debug=0, platform=0
[511] PauseScreen_hd.png (36068), compress=0, debug=0, platform=0
[521] PauseScreen_rd.png (89464), compress=0, debug=0, platform=0
[1111] Font_en01_sd.png (6513), compress=0, debug=0, platform=0
[1121] Font_en01_hd.png (16615), compress=0, debug=0, platform=0
[1131] Font_en01_rd.png (36207), compress=0, debug=0, platform=0
[1211] Font_jp01g_sd.png (245768), compress=0, debug=0, platform=0
[1212] Font_jp01g_sd.ptbl (190), compress=1, debug=0, platform=0
[1221] Font_jp01g_hd.png (607309), compress=0, debug=0, platform=0
[1222] Font_jp01g_hd.ptbl (190), compress=1, debug=0, platform=0
[1231] Font_jp01g_rd.png (1349798), compress=0, debug=0, platform=0
[1232] Font_jp01g_rd.ptbl (190), compress=1, debug=0, platform=0
[1311] Font_jp01m_sd.png (476148), compress=0, debug=0, platform=0
[1312] Font_jp01m_sd.ptbl (190), compress=1, debug=0, platform=0
[1321] Font_jp01m_hd.png (1949653), compress=0, debug=0, platform=0
[1322] Font_jp01m_hd.ptbl (380), compress=1, debug=0, platform=0
[1331] Font_jp01m_rd.png (4354081), compress=0, debug=0, platform=0
[1332] Font_jp01m_rd.ptbl (190), compress=1, debug=0, platform=0
[1901] FontJpCharDef.dat (3158), compress=1, debug=0, platform=0
[2101] WorldMap01.png (929117), compress=0, debug=0, platform=0
[2201] ItemDef01.dat (4792), compress=1, debug=0, platform=0
[2202] ItemStr01.txt (3667), compress=1, debug=0, platform=0
[2301] FixedSoumaSrcDef01.dat (19913), compress=1, debug=0, platform=0
[2302] FixedSoumaSrcStr01.txt (390), compress=1, debug=0, platform=0
[5101] Title_Main_v01.png (1031353), compress=0, debug=0, platform=0
[5121] Title_Main_v01_rd.png (3441046), compress=0, debug=0, platform=0
[5110] Title_CorpLogo.png (53008), compress=0, debug=0, platform=0
[5130] Title_CorpLogo_rd.png (136949), compress=0, debug=0, platform=0
[310001] CharDef01.dat (3412), compress=1, debug=0, platform=0
[310002] CharStr01.txt (1681), compress=1, debug=0, platform=0
[310011] PcLv01.dat (364), compress=1, debug=0, platform=0
[310021] CharLogic01.dat (868), compress=1, debug=0, platform=0
[311011] Char1101-w.tbmb (249763), compress=1, debug=0, platform=99
[311012] Char1101_eye-w.tbmb (117910), compress=1, debug=0, platform=99
[311013] Char1101_mouth-w.tbmb (123652), compress=1, debug=0, platform=99
[311021] Char1102-w.tbmb (265492), compress=1, debug=0, platform=99
[311022] Char1102_eye-w.tbmb (10833), compress=1, debug=0, platform=99
[311023] Char1102_mouth-w.tbmb (13934), compress=1, debug=0, platform=99
[311031] Char1103-w.tbmb (57156), compress=1, debug=0, platform=99
[311032] Char1103_eye-w.tbmb (9481), compress=1, debug=0, platform=99
[311033] Char1103_mouth-w.tbmb (11406), compress=1, debug=0, platform=99
[311041] Char1104-w.tbmb (135405), compress=1, debug=0, platform=99
[311042] Char1104_eye-w.tbmb (11287), compress=1, debug=0, platform=99
[311043] Char1104_mouth-w.tbmb (14954), compress=1, debug=0, platform=99
[311051] Char1105-w.tbmb (116380), compress=1, debug=0, platform=99
[311052] Char1105_eye-w.tbmb (12311), compress=1, debug=0, platform=99
[311053] Char1105_mouth-w.tbmb (12356), compress=1, debug=0, platform=99
[311061] Char1106-w.tbmb (146109), compress=1, debug=0, platform=99
[311062] Char1106_eye-w.tbmb (13136), compress=1, debug=0, platform=99
[311063] Char1106_mouth-w.tbmb (12541), compress=1, debug=0, platform=99
[311081] Char1108-w.tbmb (127451), compress=1, debug=0, platform=99
[311082] Char1108_eye-w.tbmb (12226), compress=1, debug=0, platform=99
[311083] Char1108_mouth-w.tbmb (12657), compress=1, debug=0, platform=99
[311091] Char1109-w.tbmb (126671), compress=1, debug=0, platform=99
[311092] Char1109_eye-w.tbmb (12955), compress=1, debug=0, platform=99
[311093] Char1109_mouth-w.tbmb (16195), compress=1, debug=0, platform=99
[311102] Char1110_eye-w.tbmb (12080), compress=1, debug=0, platform=99
[311103] Char1110_mouth-w.tbmb (15327), compress=1, debug=0, platform=99
[311121] Char1112-w.tbmb (135948), compress=1, debug=0, platform=99
[311131] Char1113-w.tbmb (98067), compress=1, debug=0, platform=99
[311132] Char1113_eye-w.tbmb (38395), compress=1, debug=0, platform=99
[311133] Char1113_mouth-w.tbmb (43351), compress=1, debug=0, platform=99
[311511] Char1151-w.tbmb (142889), compress=1, debug=0, platform=99
[311512] Char1151_eye-w.tbmb (122903), compress=1, debug=0, platform=99
[311513] Char1151_mouth-w.tbmb (123385), compress=1, debug=0, platform=99
[311521] Char1152-w.tbmb (123977), compress=1, debug=0, platform=99
[311522] Char1152_eye-w.tbmb (10848), compress=1, debug=0, platform=99
[311523] Char1152_mouth-w.tbmb (12762), compress=1, debug=0, platform=99
[311531] Char1153-w.tbmb (112241), compress=1, debug=0, platform=99
[311532] Char1153_eye-w.tbmb (9262), compress=1, debug=0, platform=99
[311533] Char1153_mouth-w.tbmb (13408), compress=1, debug=0, platform=99
[312011] Char1201-w.tbmb (104160), compress=1, debug=0, platform=99
[312021] Char1202-w.tbmb (116812), compress=1, debug=0, platform=99
[312031] Char1203-w.tbmb (110927), compress=1, debug=0, platform=99
[312041] Char1204-w.tbmb (134644), compress=1, debug=0, platform=99
[312051] Char1205-w.tbmb (91616), compress=1, debug=0, platform=99
[312061] Char1206-w.tbmb (142484), compress=1, debug=0, platform=99
[312071] Char1207-w.tbmb (117608), compress=1, debug=0, platform=99
[312081] Char1208-w.tbmb (99509), compress=1, debug=0, platform=99
[312091] Char1209-w.tbmb (122000), compress=1, debug=0, platform=99
[312101] Char1210-w.tbmb (134190), compress=1, debug=0, platform=99
[312181] Char1218-w.tbmb (143263), compress=1, debug=0, platform=99
[314011] Char1401-w.tbmb (220639), compress=1, debug=0, platform=99
[314012] Char1401_eye-w.tbmb (27515), compress=1, debug=0, platform=99
[314013] Char1401_mouth-w.tbmb (57771), compress=1, debug=0, platform=99
[314031] Char1403-w.tbmb (149600), compress=1, debug=0, platform=99
[314041] Char1404-w.tbmb (76891), compress=1, debug=0, platform=99
[314051] Char1405-w.tbmb (229930), compress=1, debug=0, platform=99
[314061] Char1406-w.tbmb (137313), compress=1, debug=0, platform=99
[315011] Char1501-w.tbmb (102945), compress=1, debug=0, platform=99
[315021] Char1502-w.tbmb (76891), compress=1, debug=0, platform=99
[315031] Char1503-w.tbmb (62217), compress=1, debug=0, platform=99
[315041] Char1504-w.tbmb (161060), compress=1, debug=0, platform=99
[315051] Char1505-w.tbmb (131685), compress=1, debug=0, platform=99
[315061] Char1506-w.tbmb (34844), compress=1, debug=0, platform=99
[316911] Char1691-w.tbmb (36526), compress=1, debug=1, platform=99
[316921] Char1692-w.tbmb (36526), compress=1, debug=1, platform=99
[317011] Char1701-w.tbmb (36526), compress=1, debug=0, platform=99
[317031] Char1703-w.tbmb (118522), compress=1, debug=0, platform=99
[317041] Char1704-w.tbmb (118522), compress=1, debug=0, platform=99
[317051] Char1705-w.tbmb (43378), compress=1, debug=0, platform=99
[317061] Char1706-w.tbmb (244581), compress=1, debug=0, platform=99
[317071] Char1707-w.tbmb (1935735), compress=1, debug=0, platform=99
[317081] Char1708-w.tbmb (282987), compress=1, debug=0, platform=99
[317091] Char1709-w.tbmb (263335), compress=1, debug=0, platform=99
[317101] Char1710-w.tbmb (59390), compress=1, debug=0, platform=99
[317111] Char1711-w.tbmb (101908), compress=1, debug=0, platform=99
[318011] Char1801-w.tbmb (43378), compress=1, debug=0, platform=99
