# Output for iPhone.
[11] FixedStrTbl.dat (9217), compress=1, debug=0, platform=0
[16] SystemFixed_ev.xml (290), compress=1, debug=0, platform=0
[51] CrcShdw.png (2257), compress=0, debug=0, platform=0
[101] CommonSprite_black.png (4583), compress=0, debug=0, platform=0
[201] Gui01_sd_en.png (977754), compress=0, debug=0, platform=0
[202] Gui01_sd_jp.png (1074097), compress=0, debug=0, platform=0
[211] Gui01_hd_en.png (2601878), compress=0, debug=0, platform=0
[212] Gui01_hd_jp.png (2604213), compress=0, debug=0, platform=0
[221] Gui01_rd_en.png (6941456), compress=0, debug=0, platform=0
[222] Gui01_rd_jp.png (6947110), compress=0, debug=0, platform=0
[301] Skb01_sd.png (112014), compress=0, debug=0, platform=0
[311] Skb01_hd.png (258493), compress=0, debug=0, platform=0
[321] Skb01_rd.png (562349), compress=0, debug=0, platform=0
[511] PauseScreen_hd.png (36068), compress=0, debug=0, platform=0
[521] PauseScreen_rd.png (89464), compress=0, debug=0, platform=0
[1111] Font_en01_sd.png (6513), compress=0, debug=0, platform=0
[1121] Font_en01_hd.png (16615), compress=0, debug=0, platform=0
[1131] Font_en01_rd.png (36207), compress=0, debug=0, platform=0
[1211] Font_jp01g_sd.png (245768), compress=0, debug=0, platform=0
[1212] Font_jp01g_sd.ptbl (190), compress=1, debug=0, platform=0
[1221] Font_jp01g_hd.png (607309), compress=0, debug=0, platform=0
[1222] Font_jp01g_hd.ptbl (190), compress=1, debug=0, platform=0
[1231] Font_jp01g_rd.png (1349798), compress=0, debug=0, platform=0
[1232] Font_jp01g_rd.ptbl (190), compress=1, debug=0, platform=0
[1311] Font_jp01m_sd.png (476148), compress=0, debug=0, platform=0
[1312] Font_jp01m_sd.ptbl (190), compress=1, debug=0, platform=0
[1321] Font_jp01m_hd.png (1949653), compress=0, debug=0, platform=0
[1322] Font_jp01m_hd.ptbl (380), compress=1, debug=0, platform=0
[1331] Font_jp01m_rd.png (4354081), compress=0, debug=0, platform=0
[1332] Font_jp01m_rd.ptbl (190), compress=1, debug=0, platform=0
[1901] FontJpCharDef.dat (3158), compress=1, debug=0, platform=0
[2101] WorldMap01.png (929117), compress=0, debug=0, platform=0
[2201] ItemDef01.dat (4792), compress=1, debug=0, platform=0
[2202] ItemStr01.txt (3667), compress=1, debug=0, platform=0
[2301] FixedSoumaSrcDef01.dat (20577), compress=1, debug=0, platform=0
[2302] FixedSoumaSrcStr01.txt (390), compress=1, debug=0, platform=0
[5101] Title_Main_v01.png (1249008), compress=0, debug=0, platform=0
[5121] Title_Main_v01_rd.png (4476037), compress=0, debug=0, platform=0
[5110] Title_CorpLogo.png (53008), compress=0, debug=0, platform=0
[5130] Title_CorpLogo_rd.png (136949), compress=0, debug=0, platform=0
[310001] CharDef01.dat (3412), compress=1, debug=0, platform=0
[310002] CharStr01.txt (1681), compress=1, debug=0, platform=0
[310011] PcLv01.dat (364), compress=1, debug=0, platform=0
[310021] CharLogic01.dat (868), compress=1, debug=0, platform=0
[311011] Char1101-i.tbmb (205068), compress=1, debug=0, platform=99
[311012] Char1101_eye-i.tbmb (141696), compress=1, debug=0, platform=99
[311013] Char1101_mouth-i.tbmb (141720), compress=1, debug=0, platform=99
[311021] Char1102-i.tbmb (234136), compress=1, debug=0, platform=99
[311022] Char1102_eye-i.tbmb (34068), compress=1, debug=0, platform=99
[311023] Char1102_mouth-i.tbmb (34204), compress=1, debug=0, platform=99
[311031] Char1103-i.tbmb (61140), compress=1, debug=0, platform=99
[311032] Char1103_eye-i.tbmb (33820), compress=1, debug=0, platform=99
[311033] Char1103_mouth-i.tbmb (33784), compress=1, debug=0, platform=99
[311041] Char1104-i.tbmb (87446), compress=1, debug=0, platform=99
[311042] Char1104_eye-i.tbmb (33780), compress=1, debug=0, platform=99
[311043] Char1104_mouth-i.tbmb (33856), compress=1, debug=0, platform=99
[311051] Char1105-i.tbmb (63554), compress=1, debug=0, platform=99
[311052] Char1105_eye-i.tbmb (33832), compress=1, debug=0, platform=99
[311053] Char1105_mouth-i.tbmb (33856), compress=1, debug=0, platform=99
[311061] Char1106-i.tbmb (87234), compress=1, debug=0, platform=99
[311062] Char1106_eye-i.tbmb (33968), compress=1, debug=0, platform=99
[311063] Char1106_mouth-i.tbmb (33760), compress=1, debug=0, platform=99
[311081] Char1108-i.tbmb (63942), compress=1, debug=0, platform=99
[311082] Char1108_eye-i.tbmb (33532), compress=1, debug=0, platform=99
[311083] Char1108_mouth-i.tbmb (33544), compress=1, debug=0, platform=99
[311091] Char1109-i.tbmb (88006), compress=1, debug=0, platform=99
[311092] Char1109_eye-i.tbmb (33780), compress=1, debug=0, platform=99
[311093] Char1109_mouth-i.tbmb (33924), compress=1, debug=0, platform=99
[311102] Char1110_eye-i.tbmb (33712), compress=1, debug=0, platform=99
[311103] Char1110_mouth-i.tbmb (33760), compress=1, debug=0, platform=99
[311121] Char1112-i.tbmb (83690), compress=1, debug=0, platform=99
[311131] Char1113-i.tbmb (49194), compress=1, debug=0, platform=99
[311132] Char1113_eye-i.tbmb (62148), compress=1, debug=0, platform=99
[311133] Char1113_mouth-i.tbmb (62088), compress=1, debug=0, platform=99
[311511] Char1151-i.tbmb (90018), compress=1, debug=0, platform=99
[311512] Char1151_eye-i.tbmb (141804), compress=1, debug=0, platform=99
[311513] Char1151_mouth-i.tbmb (141680), compress=1, debug=0, platform=99
[311521] Char1152-i.tbmb (80462), compress=1, debug=0, platform=99
[311522] Char1152_eye-i.tbmb (33672), compress=1, debug=0, platform=99
[311523] Char1152_mouth-i.tbmb (33624), compress=1, debug=0, platform=99
[311531] Char1153-i.tbmb (67818), compress=1, debug=0, platform=99
[311532] Char1153_eye-i.tbmb (33736), compress=1, debug=0, platform=99
[311533] Char1153_mouth-i.tbmb (33784), compress=1, debug=0, platform=99
[312011] Char1201-i.tbmb (72330), compress=1, debug=0, platform=99
[312021] Char1202-i.tbmb (72230), compress=1, debug=0, platform=99
[312031] Char1203-i.tbmb (73778), compress=1, debug=0, platform=99
[312041] Char1204-i.tbmb (87346), compress=1, debug=0, platform=99
[312051] Char1205-i.tbmb (66236), compress=1, debug=0, platform=99
[312061] Char1206-i.tbmb (84978), compress=1, debug=0, platform=99
[312071] Char1207-i.tbmb (76770), compress=1, debug=0, platform=99
[312081] Char1208-i.tbmb (55906), compress=1, debug=0, platform=99
[312091] Char1209-i.tbmb (68694), compress=1, debug=0, platform=99
[312101] Char1210-i.tbmb (79706), compress=1, debug=0, platform=99
[312181] Char1218-i.tbmb (90882), compress=1, debug=0, platform=99
[314011] Char1401-i.tbmb (135170), compress=1, debug=0, platform=99
[314012] Char1401_eye-i.tbmb (48100), compress=1, debug=0, platform=99
[314013] Char1401_mouth-i.tbmb (75556), compress=1, debug=0, platform=99
[314031] Char1403-i.tbmb (136042), compress=1, debug=0, platform=99
[314041] Char1404-i.tbmb (75042), compress=1, debug=0, platform=99
[314051] Char1405-i.tbmb (151750), compress=1, debug=0, platform=99
[314061] Char1406-i.tbmb (117770), compress=1, debug=0, platform=99
[315011] Char1501-i.tbmb (93846), compress=1, debug=0, platform=99
[315021] Char1502-i.tbmb (75042), compress=1, debug=0, platform=99
[315031] Char1503-i.tbmb (63590), compress=1, debug=0, platform=99
[315041] Char1504-i.tbmb (76526), compress=1, debug=0, platform=99
[315051] Char1505-i.tbmb (61386), compress=1, debug=0, platform=99
[315061] Char1506-i.tbmb (27154), compress=1, debug=0, platform=99
[316911] Char1691-i.tbmb (9382), compress=1, debug=1, platform=99
[316921] Char1692-i.tbmb (9382), compress=1, debug=1, platform=99
[317011] Char1701-i.tbmb (9382), compress=1, debug=0, platform=99
[317031] Char1703-i.tbmb (40342), compress=1, debug=0, platform=99
[317041] Char1704-i.tbmb (40342), compress=1, debug=0, platform=99
[317051] Char1705-i.tbmb (43806), compress=1, debug=0, platform=99
[317061] Char1706-i.tbmb (218518), compress=1, debug=0, platform=99
[317071] Char1707-i.tbmb (526956), compress=1, debug=0, platform=99
[317081] Char1708-i.tbmb (134468), compress=1, debug=0, platform=99
[317091] Char1709-i.tbmb (139356), compress=1, debug=0, platform=99
[317101] Char1710-i.tbmb (46090), compress=1, debug=0, platform=99
[317111] Char1711-i.tbmb (35138), compress=1, debug=0, platform=99
[318011] Char1801-i.tbmb (43806), compress=1, debug=0, platform=99
